id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
1503655,Elegant Flat in the Center,2769925,Pelin,Cihangir,28.98158,41.0314,Apartment,Entire home/apt,1,2,190,361,2,7,3,100,7
15036568,Appt Porto - cosy & charm,88954626,Sarah,Cihangir,-8.61182,41.17034,Apartment,Entire home/apt,1,2,30,209,2,1125,57,88,1
15047479,CHARMING APARTMENT in PLAÇA REIAL-HUTB (Phone number hidden by Airbnb),95090627,David&David,El Gòtic,2.17518,41.37998,Apartment,Entire home/apt,5,6,150,217,3,1125,117,98,3
15058677,"Quarto amplo, arejado, vista livre e silencioso.",45065951,Cesar,Botafogo,-43.18574484,-22.94885892,Apartment,Private room,2,2,67,301,2,1125,7,97,5
15060713,1 BD Luxury Apt in prime location w/ pool & tennis,23932128,Andrei,Surry Hills,151.21088,-33.88515,Apartment,Entire home/apt,1,2,151,0,3,1125,9,96,1
15073600,Amazing apartment with sea view,13224468,Luz,Flamengo,-43.1726065,-22.92783329,Apartment,Entire home/apt,1,2,179,171,2,15,6,97,1
15088513,Treehouse with Incredible Views,7338403,Douglas,Ko'olauloa,-157.85218,21.55359,Tiny house,Entire home/apt,2,4,125,354,3,1125,31,86,17
15095488,Bonita habitacion centrica-Sagrada Familia,93630330,Carol,La Sagrada Família,2.17505,41.40975,Apartment,Private room,1,1,18,65,2,60,35,93,2
15097549,WONDERFUL APARTMENTE IN COPACABANA!,59200131,Thiago,La Sagrada Família,-43.17891807,-22.96429123,Apartment,Entire home/apt,3,6,201,130,2,1125,12,98,1
15098676,Cozzy Room close to the center in quiet flat  !!!,5111255,Ivanca,La Sagrada Família,2.17228,41.39785,Apartment,Private room,1,2,32,326,2,1125,27,87,1
15099382,Fredo on the Plateau,95602034,Frédérique,Le Plateau,-73.58217,45.5369,Apartment,Private room,1,2,44,0,2,1125,19,97,2
15100883,New york Multi-unit building,95623284,Pablo,Le Plateau,-73.89713,40.86533,Apartment,Private room,1,2,40,179,3,1125,1,60,1
