,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
51,10240767,Cozy double bed room 東涌鄉村雅緻雙人房,52491634,Ricky,,113.92823,22.27671,Guesthouse,Private room,1,2,487.00,339,1,1125,162,96,5
52,10264100,Your spot in Copacabana,52772199,Ana Lúcia,,-43.17714541632985,-22.96270793328072,Apartment,Entire home/apt,5,6,798.00,247,2,15,8,100,1
53,10266175,Makaha Valley Paradise with OceanView,42868615,Ray And Lise,Waianae Coast,-158.20291,21.4818,Condominium,Entire home/apt,2,4,95.00,246,3,180,32,98,2
54,10267144,IPANEMA LUXURY PENTHOUSE with MAID,4428126,Cesar,Ipanema,-43.20056249420509,-22.98034625363379,Apartment,Entire home/apt,1,3,858.00,345,1,1125,29,99,3
55,10269320,FloresRooms 3T,51724179,Andreia,,-8.61205,41.14404,Apartment,Entire home/apt,1,2,31.00,278,2,1124,225,96,6
56,10280433,~Ao Lele~ Flying Cloud,52785887,Mike,,-155.21763,19.42151,Treehouse,Entire home/apt,1,2,185.00,165,2,30,103,99,1
57,10280433,~Ao Lele~ Flying Cloud,52785887,Mike,,-155.21763,19.42151,Treehouse,Entire home/apt,1,2,185.00,165,2,30,103,99,1
58,10299095,Small Room w Bathroom Flamengo Rio de Janeiro,52988408,Fernanda,,-43.17645081249057,-22.93848268819496,Apartment,Private room,1,1,71.00,0,4,1125,1,80,2
59,102995,UWS Brownstone Near Central Park,178043,Chas,The Castro,-73.9696,40.78558,Apartment,Entire home/apt,3,3,212.00,5,21,30,45,93,4
60,102995,UWS Brownstone Near Central Park,178043,Chas,The Castro,-73.9696,40.78558,Apartment,Entire home/apt,3,3,212.00,5,21,30,45,93,4
61,103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,465278,Ade,Williamsburg,-73.96053,40.71577,Apartment,Entire home/apt,2,2,175.00,363,2,300,117,96,1
62,10317142,Private OceanFront - Bathtub Beach. Spacious House,53086419,Noah,Ko'olauloa,-157.91952,21.63549,House,Entire home/apt,10,14,795.00,229,3,1125,32,94,1
63,10317142,Private OceanFront - Bathtub Beach. Spacious House,53086419,Noah,Ko'olauloa,-157.91952,21.63549,House,Entire home/apt,10,14,795.00,229,3,1125,32,94,1
64,10332161,A large sunny bedroom,53169195,Ehssan,Tremont,-73.90052,40.85598,Apartment,Private room,1,1,35.00,0,3,1125,2,90,1
